Full Response,Time Started(PT),Progress,Bullet Summary,Tagline,Quality score,Which of the following best describes your household?,Which of these activities has your child participated in during the past 12 months?,Which of the following challenges has your child experienced? Select all that apply.,Tell me about the last time your child attended a therapy or counseling session. What was it like?,What made you decide to seek therapy or support for your child in the first place?,What has been the most frustrating part of finding and maintaining the right therapy for your child?,"If your child has been in group therapy, think back to a specific session. How engaged was your child? What did they tell you about it afterwards?",What would an ideal group therapy session look like for your child?,How important are each of the following in a group therapy program for your child?,What's your initial reaction to that idea?,How comfortable would you be with your child participating in a session like this?,What would need to be true for you to feel fully comfortable with this kind of program?,"What concerns, if any, do you have about AI being involved in your child's therapy?",How would you feel about your child attending group therapy via video call rather than in person?,"If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?",What would make you choose this over your child's current therapy arrangement?,Tags,Other Remarks,Country,Gender,Ethnicity,Age,Year of birth of youngest child,short transcript
#139,"6/2, 11:45 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities, therapy or counseling, art or music classes, and religious or community programs in the past year.
- My child has difficulty with focus or attention.
- I was screened out of the study.",Parent of school-age child facing focus issues,2,I have children between 6 and 12 years old,"Sports or physical activities, Therapy or counseling, Art or music classes, Religious or community programs",Difficulty with focus or attention,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,White,37,2014,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Therapy or counseling, Art or music classes, Religious or community programs
• Which of the following challenges has your child experienced? Select all that apply. → Difficulty with focus or attention
• Thank you for your time, you did not meet the research criteria for this study! → "
#140,"6/2, 11:46 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child did not participate in the listed activities in the past 12 months.",Parent of kids aged 6–12,2,I have children between 6 and 12 years old,None of the above,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Black,42,2017,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → None of the above
• Thank you for your time, you did not meet the research criteria for this study! → "
#141,"6/2, 11:48 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child took art or music classes in the past year.",Parent of school-age children,2,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Mixed,28,2019,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
#142,"6/2, 11:49 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in tutoring or academic support in the past year.
- My child took part in religious or community programs in the past year.",Engaged Parent of School-Age Kids,2,I have children between 6 and 12 years old,"Tutoring or academic support, Religious or community programs",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,Black,40,2015,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Tutoring or academic support, Religious or community programs
• Thank you for your time, you did not meet the research criteria for this study! → "
#143,"6/2, 11:53 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,47,2013,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#144,"6/2, 11:57 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.
- My child took art or music classes in the past 12 months.
- My child joined religious or community programs in the past 12 months.
- My child received tutoring or academic support in the past 12 months.",Engaged Parent of School-Age Kids,2,I have children between 6 and 12 years old,"Sports or physical activities, Art or music classes, Religious or community programs, Tutoring or academic support",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,43,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Art or music classes, Religious or community programs, Tutoring or academic support
• Thank you for your time, you did not meet the research criteria for this study! → "
#145,"6/2, 11:58 AM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,62,2013,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#146,"6/2, 12:00 PM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,46,2014,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#147,"6/2, 11:45 AM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Black,30,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#148,"6/2, 12:05 PM",Complete,"- Sought therapy to help her child attend school and function.
- Tried about three clinics before finding a fit.
- Child struggles with anxiety, depression, shyness, and social anxiety; group settings overwhelm her.
- Prefers very small group therapy and options to engage without being forced.
- Open to AI-supported therapy if human-guided, with options like texting or AI speaking for her child.","Parent Seeking Gentle, Human-Guided AI Support",4,I have children between 6 and 12 years old,"Art or music classes, Therapy or counseling, Sports or physical activities, Religious or community programs","Academic struggles, Emotional regulation challenges, Difficulty with focus or attention, Shyness or social anxiety, Low self-confidence or self-esteem, Difficulty making friends or socializing","My child attends therapy for anxiety and depression. Sessions last 30–60 minutes and cover what's bothering her and medication changes. She usually enjoys going, but after sessions she can be either okay or very triggered and emotionally upset as difficult emotions are processed.",I think it was needed for her to be able to maintain a good ability to attend school and function.,"It's been hard to find a therapist my child enjoys and will open up to. We went through at least three clinics, about three doctors.","She did group therapy before and did not like it. There were too many people, she felt uncomfortable speaking, got lost in the group, stared off, and froze even when encouraged.",An ideal group would let her interact freely without being forced. A much smaller group size—one to two people instead of five to ten—would suit her better.,Consistent session structure: Somewhat important | Affordable cost: Very important | Every child gets equal opportunity to participate: Critical | Sessions are engaging and fun for the child: Very important | Therapist gives individual attention: Critical | Progress is tracked and shared with parents: Very important,"I think that is a great idea. I wish each child had access to their own personal AI so they can speak openly and fairly, which could prevent freezing up and let AI speak for her when she can't.",Very comfortable,I think each child should have access to their own ability to opt out or ability to use AI if they are comfortable and like what it is capable of.,"AI is positive if it's positive and controlled. It should be guided by a human and not be fully AI, with a person able to step in at all times. I have some privacy concerns but I'm more worried about AI taking therapy in the wrong direction.","I'm unsure she'd enjoy video calls; using the phone itself can cause anxiety. She might warm up over time, especially if she knows it's a guided computer rather than a real person.",Definitely would try it,"I think this would be a very convenient option to be able to integrate her ability to speak through the AI or communicate with it in more than one way, especially outside of just talking. Having an AI she could text to or select options as to how she feels, or an AI that could communicate to the therapist for her what she has said","Parent of child 6–12, Child in therapy and group sessions",,United States,Woman,White,33,2014,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Art or music classes, Therapy or counseling, Sports or physical activities, Religious or community programs
• Which of the following challenges has your child experienced? Select all that apply. → Academic struggles, Emotional regulation challenges, Difficulty with focus or attention, Shyness or social anxiety, Low self-confidence or self-esteem, Difficulty making friends or socializing
• Tell me about the last time your child attended a therapy or counseling session. What was it like?
 → My child attends therapy sessions to address anxiety and depression. She typically goes and enjoys her visits. It lasts about 30 minutes to an hour. They attend the counseling sessions and discuss the things that are bothering them and medication changes.
• It's nice to hear she actually enjoys going — that's not always the case. You mentioned they discuss things that are bothering her and medication changes; how does she seem after sessions, emotionally?
 → Sometimes she is good, other times she is very triggered and emotionally upset, which is to be expected when you run through difficult emotions.
• That makes a lot of sense — processing hard things stirs them up before it settles them down. What made you decide to seek therapy or support for your child in the first place?
 → I think it was needed for her to be able to maintain a good ability to attend school and function.
• What has been the most frustrating part of finding and maintaining the right therapy for your child?
 → It has been hard to find a therapist that my child enjoys going to and that does not mind opening up to.
• Finding that right fit — someone she actually wants to open up to — can take a lot of trial and error. How many therapists did you go through before finding one that clicked?
 → I think we ended up going through at least 3 clinics, so about 3 doctors.
• Three clinics before finding the right one — that's a real investment of time and emotional energy for both of you. Has your child ever participated in group therapy, or has it always been one-on-one sessions?
 → She has participated in group therapy before and did not like it. There were too many people and she did not feel comfortable opening up or even speaking.
• That's really telling — she already struggles with shyness and social anxiety, and being in a room with too many people made it harder to participate, not easier. Did she ever feel like the therapist noticed she wasn't engaging, or did she kind of just get lost in the group?

 → The therapist noticed that she wasn't able to engage and that she got lost in the group and just stared off.
• That image of her just staring off while the session moved on around her is really striking. When the therapist noticed she wasn't engaging, did they do anything to try to bring her in, or did the session just continue without her?
 → They spoke to her and tried to encourage her, and instead of speaking back, she sat quietly and just froze.
• That freeze response says so much — even with encouragement, the group setting was just too overwhelming for her. What would an ideal group therapy session look like for your child, given everything you've seen about how she responds?
 → I think an ideal group therapy session for my child would be a group where she could interact freely but not have to be forced to.
• That balance — being included without being put on the spot — sounds like it would make a real difference for her. When you picture that, is it more about the size of the group, the way the therapist runs it, or something else entirely?
 → I think a smaller size group, one to two people versus five to 10 would be better for her.
• How important are each of the following in a group therapy program for your child?
 → Progress is tracked and shared with parents: Very important | Therapist gives individual attention: Critical | Affordable cost: Very important | Sessions are engaging and fun for the child: Very important | Consistent session structure: Somewhat important | Every child gets equal opportunity to participate: Critical
• I'd like to share an idea with you. Imagine a group therapy program for children where a licensed therapist leads every session, but is supported by an AI assistant. The AI helps manage the session — for example, making sure every child gets a turn to speak, guiding structured activities like storytelling or role-playing, and gently encouraging quieter children to participate. The therapist remains fully in control and can step in at any time. The AI simply helps the session run more smoothly and inclusively. → Continue
• What's your initial reaction to that idea?
 → I think that is a great idea. I do wish each child would have access to their own personal AI to be able to integrate fairness and ability to openly and freely speak evenly.
• That's an interesting instinct — almost like each child having their own private channel to engage through, so no one has to compete for space. What makes you feel that individual AI access would help specifically for a child like yours who tends to freeze up?

 → I think AI access would make me and my child both have options that prevent freezing up.
• It sounds like having a lower-stakes way to interact — where she doesn't have to speak up in front of the group — could be a real game-changer for her. Are there any reservations you have about the AI side of it, or does it feel mostly positive to you?

 → I think it is a good positive experience if AI could be able to speak for her and interact in ways that she was not able to speak for herself.
• How comfortable would you be with your child participating in a session like this?
 → Very comfortable
• What would need to be true for you to feel fully comfortable with this kind of program?

 → I think each child should have access to their own ability to opt out or ability to use AI if they are comfortable and like what it is capable of.
• That idea of choice and control — letting the child decide how much to lean on the AI — feels really aligned with what you described about not wanting her to feel forced. What concerns, if any, do you have about AI being involved in your child's therapy?

 → I think AI would be positive as long as it was positive and controlled.
• When you say ""controlled"" — are you thinking about things like the AI staying on appropriate topics, or more about making sure it doesn't say something that could accidentally upset a child who's already emotionally sensitive?
 → I think it should be guided with a human. It shouldn't be fully AI. A regular person should be there to direct or be able to step in at all times.
• That human backstop sounds really important to you — the AI as a tool, not a replacement. What about privacy: does it concern you at all that an AI might be recording or processing what your child says during a session?

 → Sure, there are privacy concerns, but I am more concerned if AI takes the therapy the wrong direction.
• That concern about AI taking things in the wrong direction — especially with a child who's already emotionally vulnerable — makes a lot of sense. How would you feel about your child attending group therapy via video call rather than in person?

 → I'm unsure if she would enjoy video call. There would be anxiety about using the phone as well.
• The anxiety extending to the technology itself — not just the people in the session — is a really important layer. Do you think that's something she could warm up to over time, or does the screen itself feel like a barrier that would be hard to get past?

 → I think she could warm up to it over time, especially knowing that it's not a real person she's speaking to, but a guided computer.
• If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?
 → Definitely would try it
• What would make you choose this over your child's current therapy arrangement?
 → I think this would be a very convenient option to be able to integrate her ability to speak through the AI or communicate with it in more than one way, especially outside of just talking. Having an AI she could text to or select options as to how she feels, or an AI that could communicate to the therapist for her what she has said"
#149,"6/2, 12:07 PM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,38,2014,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#150,"6/2, 12:04 PM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past 12 months.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Sports or physical activities,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Black,29,2013,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities
• Thank you for your time, you did not meet the research criteria for this study! → "
#151,"6/2, 12:08 PM",Complete,"- Child is shy and opens up better one-on-one.
- Wants small, structured groups where everyone must speak gently.
- Prioritizes individual attention, structure, progress tracking, engagement, affordability, and equal participation.
- Feels positive and confident about AI support, with strong privacy trust.
- Prefers in-person over video because face-to-face reduces hiding; would try telehealth if offered.","Proactive parent seeking gentle, structured support",4,I have children between 6 and 12 years old,"Therapy or counseling, Tutoring or academic support, Art or music classes, Religious or community programs","Low self-confidence or self-esteem, Difficulty with focus or attention, Emotional regulation challenges, Shyness or social anxiety, Behavioral issues at school, Academic struggles","She was reluctant and not ready, both before and during the session.",she had started developing bad attitude which I was worried might change her,Finding someone she feels free and safe with so she can explain what she’s feeling; she connected best with a shrink from the veteran department.,"I prefer one-on-one because she’s very shy. In a group, I fear she won’t open up like she can in a private room with one person and would hide to avoid questions.","A small group where everyone must speak with structured turns, so it’s hard to disappear, and gentle pushing without breaking anyone.",Therapist gives individual attention: Critical | Consistent session structure: Critical | Progress is tracked and shared with parents: Critical | Sessions are engaging and fun for the child: Critical | Affordable cost: Critical | Every child gets equal opportunity to participate: Critical,It seems ideal because efforts are distributed equally to everyone and it reassures me that it will gently encourage my child. It feels positive.,Very comfortable,"I need full tracking of my child’s progress and honesty if there isn’t progress, with regular updates after each session or at least weekly.","I don’t have concerns. I believe AI policies keep conversations secure, and I’m fully confident AI can handle the situation keenly.",I would feel unsatisfied with video. In person matters because when people face each other there are things she won’t hide.,Definitely would try it,To polish what she has and to learn new thing or to be assessed deeply,"Parent of child 6–12, Child in therapy and tutoring",,United States,Woman,White,33,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Therapy or counseling, Tutoring or academic support, Art or music classes, Religious or community programs
• Which of the following challenges has your child experienced? Select all that apply. → Low self-confidence or self-esteem, Difficulty with focus or attention, Emotional regulation challenges, Shyness or social anxiety, Behavioral issues at school, Academic struggles
• Tell me about the last time your child attended a therapy or counseling session. What was it like?
 → she was reluctant like she wasn't reay
• That reluctance — what did it look like? Was she resistant before the session, during, or both?
 → both
• What made you decide to seek therapy or support for your child in the first place?
 → she had started developing bad attitude which I was worried might change her
• What has been the most frustrating part of finding and maintaining the right therapy for your child?
 → someone who she will be free to so that she can explain what she is feeling or going through
• Finding someone she actually feels safe enough to open up to — that's such a real barrier. Has she ever connected with a therapist in a way that felt like it was working, even briefly?
 → yes a shrink from veteran department
• It sounds like that connection made a real difference. Has your child ever been part of group therapy, or has it always been one-on-one?
 → I prefer one on one because she is on a stage where she is too shy
• That makes a lot of sense. If she were in a group setting, what's your biggest worry — that she'd just go quiet and not get anything out of it, or something else?
 → Exactly i fear that she will not open up like the way she could in a closed room with one person
• And in a group, do you worry she'd just fade into the background — that the therapist might not even notice she hasn't said a word the whole session?
 → automatically she will hide to avoid questions
• Given all that, what would an ideal group therapy session look like for your child — if one could actually work for her?
 → where everyone is supposed to talk no matter what plus the numbers matter to be less so that it will be difficult to disappear in group
• Small group, structured so no one can slip through the cracks — that's a really clear picture. When you say everyone is supposed to talk ""no matter what,"" do you mean you'd want some kind of built-in structure that ensures each child gets a turn, rather than leaving it up to who volunteers?
 → exactly in a therapy someone has to be pushed as long as you are not breaking him or her
• How important are each of the following in a group therapy program for your child?
 → Progress is tracked and shared with parents: Critical | Sessions are engaging and fun for the child: Critical | Affordable cost: Critical | Every child gets equal opportunity to participate: Critical | Therapist gives individual attention: Critical | Consistent session structure: Critical
• I'd like to share an idea with you. Imagine a group therapy program for children where a licensed therapist leads every session, but is supported by an AI assistant. The AI helps manage the session — for example, making sure every child gets a turn to speak, guiding structured activities like storytelling or role-playing, and gently encouraging quieter children to participate. The therapist remains fully in control and can step in at any time. The AI simply helps the session run more smoothly and inclusively. → Continue
• What's your initial reaction to that idea?
 → it seem ideal because it is efforts are distributed equally to everyone and it is concerning about the wellbeing of my child
• You mentioned it's ""concerning about the wellbeing"" — I want to make sure I understand that. Do you mean it feels reassuring that the AI is focused on her wellbeing, or is there something about it that also worries you?
 → yes it is reassuring because it will ""gently encourage my child"" meaning the AI is not harsh
• Is there any part of the AI being involved that gives you pause, or does it feel mostly positive?
 → it feels positive
• How comfortable would you be with your child participating in a session like this?
 → Very comfortable
• What would need to be true for you to feel fully comfortable with this kind of program?

 → To have a full truck of my child progress and if there is none to be honest with me
• Transparency and honesty about progress — that matters a lot. When you say ""full track,"" do you mean regular updates after every session, or more like a bigger picture over time?

 → yes regular update maybe after every session sound good or after a week
• What concerns, if any, do you have about AI being involved in your child's therapy?
 → I don't have any concerns
• What about privacy — does it feel okay to you that an AI would be listening in on your child's sessions?

 → In the past I have learned that AI have a policy where the client conversation is secure
• One more angle — do you worry at all that the AI might miss an emotional cue from your child, like if she's quietly struggling but not saying anything?

 → No I'm fully confident about how AI handle the situation keenly
• How would you feel about your child attending group therapy via video call rather than in person?
 → I would feel unsatisfied
• What is it about in-person that feels important — is it about your child's connection with the therapist, or something else?
 → When people are facing each other there are things she won't hide
• If a program like this existed today — clinician-led group therapy with AI support, delivered via telehealth, for $50-100 per session — how likely would you be to try it?
 → Definitely would try it
• What would make you choose this over your child's current therapy arrangement?

 → To polish what she has and to learn new thing or to be assessed deeply"
#152,"6/2, 12:10 PM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Woman,White,34,2016,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#153,"6/2, 12:12 PM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in sports or physical activities in the past year.
- My child participated in religious or community programs in the past year.",Parent of school-age kids active in community,2,I have children between 6 and 12 years old,"Sports or physical activities, Religious or community programs",,,,,,,,,,,,,,,"Parent, Children 6–12",,United States,Woman,White,44,2014,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Religious or community programs
• Thank you for your time, you did not meet the research criteria for this study! → "
#154,"6/2, 12:14 PM",Screened Out,- I have adult children (18+).,Parent with adult children,2,I have adult children (18+),,,,,,,,,,,,,,,,Parent of adult children,I have adult children (18+).,United States,Woman,Mixed,44,2018,"• Which of the following best describes your household? → I have adult children (18+)
• Thank you for your time, you did not meet the research criteria for this study! → "
#155,"6/2, 12:16 PM",Screened Out,- I have children between 13 and 17 years old.,Parent of teens in household,2,I have children between 13 and 17 years old,,,,,,,,,,,,,,,,"Parent, Children 13-17",,United States,Man,White,41,2014,"• Which of the following best describes your household? → I have children between 13 and 17 years old
• Thank you for your time, you did not meet the research criteria for this study! → "
#156,"6/2, 12:16 PM",Screened Out,"- I have children between 6 and 12 years old.
- My child participated in religious or community programs in the past year.",Parent of 6–12-year-olds,2,I have children between 6 and 12 years old,Religious or community programs,,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Woman,Black,37,2018,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Religious or community programs
• Thank you for your time, you did not meet the research criteria for this study! → "
#157,"6/2, 12:24 PM",Screened Out,"- I have children aged 6–12.
- My child participated in sports or physical activities in the past year.
- My child received tutoring or academic support in the past year.
- My child took art or music classes in the past year.",Parent of school-age kids active in enrichment,2,I have children between 6 and 12 years old,"Sports or physical activities, Tutoring or academic support, Art or music classes",,,,,,,,,,,,,,,"Parent, Children 6-12",,United States,Man,White,35,2015,"• Which of the following best describes your household? → I have children between 6 and 12 years old
• Which of these activities has your child participated in during the past 12 months? → Sports or physical activities, Tutoring or academic support, Art or music classes
• Thank you for your time, you did not meet the research criteria for this study! → "
